Latin;Nature/genre;Français
ambi, amb, am/an;adj;de chaque coté, autour
ambiegnus, a, um;adj;qui a un agneau de chaque côté (en parlant d'une victime)
ambiguus, a, um;adj;qui penche également dans la balance de chaque côté
amplecti;;embrasser
anceps;adj;qui a une tête de chaque côté
ambo, bae, bo;adj;deux, l'un côté de l'autre
amma;f;mère (mot enfantin)
mamma;f;maman
mamilla;f;mamelle
amita, ae;f;tante paternelle
Ammianus;;Ammien
amare;;aimer
amor, oris;m;amour, amitié
amicus, i;m;ami
inimicus, i;m;ennemi privé
hostis;m;ennemi publique, étranger
amoenus, a, um;adj;agréable
amoenitas, atis;f;charme
amnis, is;f;fleuve
amplus, a, um;adj;large, vaste, abondant, grand
vir amplissimus;m;personnage très important
amplitudo, inis;f;étendue, grandeur
amplius;adj;davantage
ampliare;;augmenter, ajourner
ampliatio, onis;f;augmentation, ajournement
amplificatio, onis;f;augmentation, amplification
ango, is, anxi, anctum, angere;;serrer, étreindre
angina, ae;f;angine
angor, angoris;m;angoisse
angustus, a, um;adj;serré, étroit, pauvre
augustiae, arum;f pl;défilé, gêne
anxius, a, um;adj;angoissant, angoissé
anxietas, atis;f;inquiétude, anxiété
anguis, is;f;serpent
anguilla, ae;f;anguille
angulus, i;m;coin, angle
uncus, i;m;crochet
aduncus, a, um;adj;recourbé
angellus, i;m;petit coin
anima, ae;f;souffle d'air, de vie (ame)
animans, tis;m;animal
animal, alis;n;être vivant
semianimis, e;adj;demi-mort
inanimatus, a, um;adj;inanimé
exanimis, e;adj;mort
animus, i;m;sentiments, passions (act. du cœur)
mens;f;réflexion, pensée (act. de l'esprit)
addere animum;;donner du cœur
deficere animo;;perdre courage
animi causa;;par plaisir
animosus, a, um;adj;courageux, orgueilleux
magnanimus, a, um;adj;magnanime
unanimitas, atis;f;unanimité des cœurs
aequanimus, a, um;adj;qui ne penche pas plus pour une chose que pour une autre
aequanimitas, atis;f;égalité d'âme
animadvertere;;remarquer, tourner son attention vers, blâmer
animadversio, onis;f;remarque, reproche
annus, i;m;récolte
annuus, a, um;adj;qui dure un an
annalis, e;adj;qui a lieu tous les ans
annales;m;livres qu'on écrit tous les ans, annales
anniculus, a, um;adj;âge d'un an révolu
annosus, a, um;adj;chargé d'années
annona, ae;f;Annona
anniversarius;;anniversaire
vertere;;tourner
quotannis;adj;chaque année
biennium, i;n;espace de deux ans
triennium, i;n;espace de trois ans
quinquennis, e;adj;de cinq ans
perennis, e;adj;qui dure toute l'année, éternel
anser, eris;m;oie
ante;;avant, devant
antistare;;être au premier rang
antistes, stitis;m;chef, prêtre
anterior;adj;antérieur
prior;adj;antérieur
antequam;;avant que
antiquus, a, um;adj;antique
antiquior;adj;préférable
antiquissimus;superlatif de antiquior;supérieur, qui est plus en avant
nihil antiquis habere;;n'avoir rien plus à cœur
antiquissima res est;;c'est une chose très importante
antiquarius, i;m;antiquaire
anus, us;f;vieille femme
anus, i;m;anneau, anus
anularis, e;adj;annulaire, qui concerne l'anneau
digitus;m;doigt
aper, apri;m;sanglier
porcus;m;porc domestique
aperio, is, ui, um, ire;;ouvrir, dévoiler
operire;;fermer
aperte;adv;ouvertement
apertura, ae;f;ouverture
operculum, i;n;couvercle
cooperculum, i;n;couvercle
cooperire;;couvrir entièrement
apex, apicis;m;sommet, bonnet, trait vertical
apio, is, epi, aptum, apere;;attacher
adipiscor, eris, adeptus sum, adipisci;;atteindre, obtenir
copula, ae;f;lien
coepi;;je commence à
aptus, a, um;adj;attaché à
aptare;;équiper
adaptare;;adaper
ineptus, a, um;adj;impropre à , maladroit
