sol;solis;m;soleil
dolor;doloris;m;douleur
mulier;mulieris;f;femme
civitas;civitatis;f;cité
miles;militis;m;soldat
quies;quiestis;f;repos
pes;pedis;m;pied
lapis;lapidis;m;pierre
sanguis;sanguinis;m;sanguiniscustos;
custos;custodis;m;gardien
fraus;fraudis;f;ruse
virtus;virtutis;f;courage
Venus;veneris;f;Vénus
mos;moris;m/pl;coutume/moeurs
lu x; lucis;f;lumière
rex;regis;m;roi
judex;judicis;m;juge
regio;regionis;f;contrée, région
pulchritudo;pulchritudinis;f;beauté
Juppiter;Jovis;m;Jupiter
bos;bovis (dat./abl. pl bubus);m/f;boeuf/vache
sus;suis (abl. pl subus);m/f;porc/truie
pater;patris, patrum;m;père
mater;matris, matrum;f;mère
frater;fratris, fratrum;m;frère
juvenis;juvenis, juvenum;m;homme jeune
senex;senis, senum;m;vieillard
canis;canis, canum;m;chien
ver;veris;n;printemps
marmor;marmoris;n;marbre
flumen;fluminis;n;fleuve
corpus;corporis;n;corpus
scelus;sceleris;n;crime
caput;capitis;n;tête
iter;itineris;n;chemin
jus;juris;n;droit
rus;ruris;n;campagne
aes;aeris;n;bronze
os;oris;n;bouche
cor;cordis;n;coeur
